# Wettercode - "weatherng-sd & weatherng"
# http://edg3.co.uk/snippets/weather-location-codes/
#
# Deutschland 
# http://edg3.co.uk/snippets/weather-location-codes/germany/
#
# mango 06.08.2012
#
GMXX0231, Bruggen
GMXX0232, Vilsbiburg
GMXX0233, Vilshofen
GMXX0234, Waldkirchen
GMXX0235, Weibenburg
GMXX0236, Wittigen
GMXX0237, Wittenberge
GMXX0238, Zeven
GMXX0239, Zwickau
GMXX0240, Bad Tolz
GMXX0241, Donaueschingen-Villingen
GMXX0242, Bielefeld-Windelsbleiche
GMXX0243, Coburg
GMXX0244, Feucht
GMXX0245, Freudenstadt
GMXX0246, Friedrichshafen
GMXX0247, Fulda
GMXX0248, Garmisch-Partenkirchen
GMXX0249, Geilenkirchen
GMXX0250, Giessen
GMXX0251, Hahn
GMXX0252, Husum
GMXX0253, Idar-Oberstein
GMXX0254, Konstanz
GMXX0255, Lahr
GMXX0256, Memmingen
GMXX0257, Norderney
GMXX0258, Oberpfaffenhofen
GMXX0259, Oberstdorf
GMXX0260, Passau
GMXX0261, Plauen
GMXX0262, Quickborn
GMXX0263, Schwabisch Hall
GMXX0264, Weiden
GMXX0265, Wernigerode
GMXX0266, Westerland/Sylt
GMXX0267, Muehldorf
GMXX0268, Goerlitz
GMXX0269, Grafenwohr
GMXX0270, Guetersloh
GMXX0271, Lechfeld
GMXX0272, Eifel
GMXX0280, Bad Hersfeld
GMXX0281, Stuhlingen
GMXX0282, Kirchweidach
GMXX0283, Schwarzach
GMXX0284, Bayerisch Gmain
GMXX0285, Lindau
GMXX0286, Appenweier
GMXX0287, Weingarten
GMXX0288, Althengstett
GMXX0289, Denzlingen
GMXX0290, Alsheim
GMXX0291, Oberrieden
GMXX0292, Riedenburg
GMXX0293, Waltershausen
GMXX0294, Edemissen
GMXX0295, Empfingen
GMXX0296, Blumenthal
GMXX0297, Gulzow
GMXX0298, Birnbach
GMXX0299, Bad Eilsen
GMXX0300, Timmaspe
GMXX0301, Bad Salzdetfurth
GMXX0302, Ohringen
GMXX0303, Hirschegg
GMXX0304, Emmerting
GMXX0305, Sehlde
GMXX0306, Zachenberg
GMXX0307, Sulzdorf
GMXX0308, Hartha
GMXX0309, Niederkirchen bei Deidesh
GMXX0310, Wehingen
GMXX0311, Markneukirchen
GMXX0312, Gebsattel
GMXX0313, Schwabsoien
GMXX0314, Muggensturm
GMXX0315, Langdorf
GMXX0316, Bobenheim-Roxheim
GMXX0317, Mitwitz
GMXX0318, Breitenbach
GMXX0319, Lappersdorf
GMXX0320, Hohenpeissenberg
GMXX0321, Gaimersheim
GMXX0322, Antrifttal
GMXX0323, Lauenau
GMXX0324, Tamm
GMXX0325, Mechtersen
GMXX0326, Selbitz
GMXX0327, Ilsenburg
GMXX0328, Wiggensbach
GMXX0329, Dettingen/Erms
GMXX0330, Mamming
GMXX0331, Mohrendorf
GMXX0332, Perasdorf
GMXX0333, Hollern-Twielenfleth
GMXX0334, Kallstadt
GMXX0335, Zell
GMXX0336, Lobejun
GMXX0337, Treis-Karden
GMXX0338, Gronau/Westfahlen
GMXX0339, Mielkendorf
GMXX0340, Oederquart
GMXX0341, Friedelsheim
GMXX0342, Oberpframmern
GMXX0343, Heidenau
GMXX0344, Garrel
GMXX0345, Trautskirchen
GMXX0346, Neu Wulmstorf
GMXX0347, Kleinheubach
GMXX0348, Colditz
GMXX0349, Weinstadt
GMXX0350, Philippsburg
GMXX0351, Neuschonau
GMXX0352, Urbach
GMXX0353, Kreischa
GMXX0354, Kamen
GMXX0355, Brucken
GMXX0356, Velburg
GMXX0357, Edermunde
GMXX0358, Schwaforden
GMXX0359, Zierenberg
GMXX0360, Arolsen
GMXX0361, Bergen/Dumme
GMXX0362, Brehna
GMXX0363, Malsfeld
GMXX0364, Redwitz
GMXX0365, Vellberg
GMXX0366, Wannweil
GMXX0367, Hallerndorf
GMXX0368, Berglern
GMXX0369, Seligenstadt
GMXX0370, Diessen a. Ammersee
GMXX0371, Gross Wittensee
GMXX0372, Possneck
GMXX0373, Eppelheim
GMXX0374, Schobull
GMXX0375, Lembruch
GMXX0376, Lonsee
GMXX0377, Langsur
GMXX0378, Bad Homburg
GMXX0379, Lambrecht
GMXX0380, Geroldshausen
GMXX0381, Ringgau
GMXX0382, Warin
GMXX0383, Schopp
GMXX0384, Stavenhagen
GMXX0385, Bad Breisig
GMXX0386, Korle
GMXX0387, Voerde
GMXX0388, Fernwald
GMXX0389, Finowfurt
GMXX0390, Aarbergen
GMXX0391, Murrhardt
GMXX0392, Wietmarschen
GMXX0393, Gerolfingen
GMXX0394, Weisenheim/Berg
GMXX0395, Retzstadt
GMXX0396, Zell/Wiesental
GMXX0397, Trausnitz
GMXX0398, Robel
GMXX0399, Lebus
GMXX0400, Konigsdorf
GMXX0401, Langenpreising
GMXX0402, Bad Fussing
GMXX0403, Sandersleben
GMXX0404, Ehrenburg
GMXX0405, Schildow
GMXX0406, Gross Koris
GMXX0407, Daleiden
GMXX0408, Edesheim
GMXX0409, Bad Bertrich
GMXX0410, Westerronfeld
GMXX0411, Uchtspringe
GMXX0412, Seefeld
GMXX0413, Viersen
GMXX0414, Flecken Zechlin
GMXX0415, Offenbach/Hundheim
GMXX0416, Bad Schwartau
GMXX0417, Contwig
GMXX0418, Oberasbach
GMXX0419, Zorneding
GMXX0420, Trebenow
GMXX0421, Gailingen am Hochrhein
GMXX0422, Solms
GMXX0423, Janschwalde
GMXX0424, Unterschneidheim
GMXX0425, Breisach
GMXX0426, Padenstedt
GMXX0427, Gross Oesingen
GMXX0428, Nieder-Olm
GMXX0429, Limburgerhof
GMXX0430, Argenthal
GMXX0431, Hulben
GMXX0432, Orsingen-Nenzingen
GMXX0433, Diemelstadt
GMXX0434, Rothenbach/Allgau
GMXX0435, Bad Camberg
GMXX0436, Parey
GMXX0437, Weisenheim/Sand
GMXX0438, Hochdorf-Assenheim
GMXX0439, Fischbach
GMXX0440, Weissenbrunn
GMXX0441, Muhlhausen/Ehingen
GMXX0442, Burg Stargard
GMXX0443, Tanna
GMXX0444, Waibstadt
GMXX0445, Reinfeld
GMXX0446, Sonsbeck
GMXX0447, Wanna
GMXX0448, Konigsfeld/Schwarzwald
GMXX0449, Jesteburg
GMXX0450, Monheim
GMXX0451, Lingen
GMXX0452, Biebergemund
GMXX0453, Apolda
GMXX0454, Hildrizhausen
GMXX0455, Munningen
GMXX0456, Julbach
GMXX0457, Kisdorf
GMXX0458, Ergersheim
GMXX0459, Trebbin
GMXX0460, Herdorf
GMXX0461, Untermerzbach
GMXX0462, Deggingen
GMXX0463, Romhild
GMXX0464, Hagenbuchach
GMXX0465, Erlenbach
GMXX0466, Monchsroth
GMXX0467, Gross Kreutz
GMXX0468, Freiamt
GMXX0469, Barby
GMXX0470, Ilmenau
GMXX0471, Bispingen
GMXX0472, Bad Sulza
GMXX0473, Tettau
GMXX0474, Brucken/Pfalz
GMXX0475, Schneckenlohe
GMXX0476, Iphofen
GMXX0477, Wassertrudingen
GMXX0478, Manschnow
GMXX0479, Baruth
GMXX0480, Warngau
GMXX0481, Neumarkt i.d. OPf.
GMXX0482, Baumholder
GMXX0483, Gmund
GMXX0484, Grabow
GMXX0485, Kirchheim an der Weinstra
GMXX0486, Hirschaid
GMXX0487, Siek
GMXX0488, Stutzerbach
GMXX0489, Wiesenthau
GMXX0490, Bad Waldsee
GMXX0491, Hattorf am Harz
GMXX0492, Bad Kosen
GMXX0493, Helmstadt
GMXX0494, Liebenwalde
GMXX0495, Randersacker
GMXX0496, Siegsdorf
GMXX0497, Spantekow
GMXX0498, Bietigheim-Bissingen
GMXX0499, Gusborn
GMXX0500, Isny
GMXX0501, Stinstedt
GMXX0502, Hogel
GMXX0503, Neukalen
GMXX0504, Gemunden
GMXX0505, Ostbevern
GMXX0506, Velbert
GMXX0507, Ammerthal
GMXX0508, Hessdorf
GMXX0509, Villingendorf
GMXX0510, Brotterode
GMXX0511, Tittmoning
GMXX0512, Bannewitz
GMXX0513, Hallenberg
GMXX0514, Neuhausel
GMXX0515, Visbek
GMXX0516, Feldberg/Schwarzwald
GMXX0517, Vlotho
GMXX0518, Weitersburg
GMXX0519, Bad Bocklet
GMXX0520, Treffelstein
GMXX0521, Kiebitzreihe
GMXX0522, Schwabbruck
GMXX0523, Pottenstein
GMXX0524, Niederburg
GMXX0525, Bohlen
GMXX0526, Tarp
GMXX0527, Hadamar
GMXX0528, Gardelegen
GMXX0529, Nordholz
GMXX0530, Dirlewang
GMXX0531, Huckeswagen
GMXX0532, Bad Gottleuba
GMXX0533, Staffelstein
GMXX0534, Wallersdorf
GMXX0535, Rudolstadt
GMXX0536, Langenargen
